5000, 2491200, 745696, 105, 67, 
10000, 5035380, 1925448, 103, 69, 
10000, 4901821, 1915252, 104, 68, 
10000, 4967437, 2143326, 622, 399, 
10000, 4997813, 2067142, 616, 379, 
10000, 4980390, 1888055, 107, 68, 
10000, 5016500, 1927468, 100, 66, 
10000, 4907081, 1774532, 103, 70, 
10000, 4972242, 1645825, 105, 68, 
10000, 4994651, 1807403, 103, 70, 
10000, 4854576, 1791167, 106, 68, 
10000, 5071698, 1806847, 102, 69, 
10000, 5030542, 1749827, 104, 68, 
10000, 5013844, 1726405, 104, 68, 
10000, 4923555, 1695587, 104, 67, 
